컨소시엄명,경진대회명,운영,일정 및 장소,대회 주제
인공지능,인공지능 모델 개발 대회 AIM(AI Model) Challenge,전남대학교,11.26(수)~11.28(금) 부산 BEXCO,Stable Diffusion 기반 AI 생성모델을 활용한 아트워크 제작
빅데이터,AWS와 함께하는 빅데이터 솔버톤 (Solve-A-Than),서울대학교,11.27(목) 부산 BEXCO, 세상을 바꾸는 빅데이터! 빅데이터로 그리는 지속가능한 솔루션
차세대반도체,2025 COSS 차세대반도체 응용 경진대회,서울대학교,11.26(수)~11.28(금) 부산 BEXCO,마이크로 컨트롤러 응용 경진대회
미래자동차,AutoRace 2025,국민대학교,11.26(수)~11.28(금) 부산 BEXCO,스케일카를 활용한 자율주행 경진대회
미래자동차,AutoHack 2025,국민대학교,11.26(수)~11.28(금) 부산 BEXCO,국내 유일 자동차 사이버보안 경진대회
바이오헬스,바이오헬스 디바이스 제작 경진대회,단국대학교,11.27(목) 부산 BEXCO / 시상 11.28(금) 부산 BEXCO ,웨어러블 의수로 만나는 스마트 헬스케어: 웨어러블 기반 개인 맞춤형 의료 디바이싀
실감미디어,2025 실감미디어 경진대회,건국대학교,11.26(수)~11.27(목) 부산 BEXCO / 시상 11.28(금) 부산 BEXCO,실감미디어 혁신융합대학 컨소시엄
지능형 로봇,지능형 로봇 로봇 제작 경진대회 2025 SHARE Challenge,한양대학교 ERICA,코쇼기간 부산 BEXCO,학생들의 로봇제작 및 프로그래밍 능력 향상 /협력과 창의력 발휘를 통한 팀워크 향상과 문제해결 능력 강화
지능형 로봇,4족보행로봇 경진대회,상명대학교,11.26(수)~11.28(금) 부산 BEXCO,4족 보행 로봇을 이용한 일상생활 속 미션 수행
에너지신산업,에너지신산업 아이디어랩,고려대학교,11.26(수)~11.28(금) 부산 BEXCO,다학제적 프로젝트 수행을 통한 지역사회 에너지 문제 해결방안 도출
항공드론,드론 3종 챌린지 올림픽 경진대회,한국항공대학교 ,11.26(수)~11.28(금) 부산 BEXCO,드론 설계 경진대회
반도체소부장,반도체 웨이퍼 이송 로봇 경진대회,서울과학기술대학교,11.28(금)~11.29(토) 부산 BEXCO,자율주행을 활용한 반도체 웨이퍼 이송 로봇
이차전지,2025 COSS BATTERY CHAMPIONSHIP (이차전지 설계 및 제작 경진대회),충북대학교,11.26(수)~11.28(금) 부산 BEXCO,참여대학 재학생들이 최첨단 이차전지 제작장비를 활용하여 이차전지를 제작하고 성능 평가 경진대회를 진행(직접 합성하거나 제작한 이차전지의 수명 특성 평가)
차세대통신,NCCOSS(Next-gen Communication COSS) 경진대회,국민대학교,11.26(수)~11.28(금) 부산 BEXCO,차세대통신
에코업,에코업 ZERO WASTE 혁신기술 아이디어 경진대회,고려대학교(세종),11.26(수)~11.28(금) 부산 BEXCO,에코업 ZERO WASTE 혁신기술 아이디어 경진대회
그린바이오,2025 그린바이오 공공기술 아이디어 경진대회,충남대학교,11.26(수)~11.28(금) 부산 BEXCO,그린바이오 분야 공공기술 활용 아이디어 또는 창업 아이템
첨단소재나노융합,적층제조 융합설계 경진대회: Folding Chair,중앙대학교, 11.26(수)~11.28(금) 부산 BEXCO,공간 절약형 변형 가능한 모듈형 (접이형)의자 (Folding Chair) 설계
데이터보안활용융합,COSS 시큐어코딩경진대회 2025, 강 원대학교,11.26(수)~11.28(금) 부산 BEXCO,AI를 활용한 안전한 소프트웨어 만들기
데이터보안활용융합,2025 해킹공격방어 대회 SecureX Challenge,강원대학교,11.26(수)~11.28(금) 부산 BEXCO,사이버 위협 대응 역량 강화를 위한 해킹 방어 경진대회
차세대디스플레이,(NEXT-U) 차세대디스플레이 Championship 2025, 단국대학교,11.26(수)~11.28(금) 부산 BEXCO	,"LIFE 부문(실생활 적용) - 실생활 및 다양한 산업 부분에서 적용할 수 있는 혁신적 디스플레이 활용 방안 제안 및 구상 / Tech 부문(제조 및 공정) - 디스플레이 제조 및 공정 개선을 위한 혁신적 기술 및 방법 제안 및 구상"
사물인터넷,IoT & AI Innovation 챌린지,세종대학교,11.27(목) 부산 BEXCO,지역사회/기업 이슈 연계 IoT 솔루션 기술 경진대회 
